SQL> SELECT A.JOB_NAME,'|',A.OWNER,'|',T.SCHED_TABLE
  2  FROM DEF_JOB A , DEF_TABLES T
  3  WHERE T.TABLE_ID = A.TABLE_ID and T.SCHED_TABLE not like '%TMP%' and T.SCHED_TABLE not like '%TMP%' and A.APPL_TYPE = 'FILE_TRANS' and ( A.NODE_ID like 'bastion2c' or A.NODE_ID like 'BASTION2C')
  4  order by A.OWNER;
MOVE_FILES_INT_ENVIOS_TAP                                        | APRMGP01_APRMGP01              | AGENDA_OP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MOVE_FILES_TP_BKP                                                | APRMGP01_APRMGP01              | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MOVE_FILES_CLARO_ENVIOS_TAP                                      | APRMGP01_APRMGP01              | AGENDA_OP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MOVE_FILES_CLARO_BKP                                             | APRMGP01_APRMGP01              | AGENDA_OP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MOVE_FILES_INT_BKP                                               | APRMGP01_APRMGP01              | AGENDA_OP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MOVE_FILES_PERSONAL_ENVIOS_TAP_TD_2                              | APRMGP01_APRMGP01              | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MOVE_FILES_PERSONAL_ENVIOS_TAP_TD_1                              | APRMGP01_APRMGP01              | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MOVE_FILES_PERSONAL_ENVIOS_TAP_CD_2                              | APRMGP01_APRMGP01              | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MOVE_FILES_PERSONAL_ENVIOS_TAP_CD_1                              | APRMGP01_APRMGP01              | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
EXTRAE_RAP_INTERNACIONAL                                         | APRMGP01_APRMGP01              | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
EXTRAE_RAP_CLARO                                                 | APRMGP01_APRMGP01              | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
EXTRAE_RAP_PERSONAL                                              | APRMGP01_APRMGP01              | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ROANAC-ENV-APROACL01-COMPTEL-TM                                  | APROACL01_APMEDI02_TM          | ROANAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROANAC-ENV-APROACL01-BAHQ141-01                                  | APROACL01_BAHQ141_01           | ROANAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROANAC-ENV-APROACL01-BAHQ141-TM                                  | APROACL01_BAHQ141_TM           | ROANAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROANAC-ENV-APSATT3Z01-ALTAMIRA-TM                                | APSATT3Z01_ALTAMIRA_TM         | ROANAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROANAC-ENV-APSATT3Z01-COMPTEL-01                                 | APSATT3Z01_APMEDI02_01         | ROANAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROANAC-ENV-APSATT3Z01-COMPTEL-TM                                 | APSATT3Z01_APMEDI02_TM         | ROANAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROANAC-ENV-APSATT3Z01-BAHQ141-01                                 | APSATT3Z01_BAHQ141_01          | ROANAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROANAC-ENV-APSATT3Z01-BAHQ141-TM                                 | APSATT3Z01_BAHQ141_TM          | ROANAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SFTP_APN_Kite_Diario                                             | AT3DATASP011_M2M               | DATAWAREHOUSE_TERADATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SFTP_Suscripciones_Kite_Diario                                   | AT3DATASP011_M2M               | DATAWAREHOUSE_TERADATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SFTP_Planes_Comerciales_Kite_Diario                              | AT3DATASP011_M2M               | DATAWAREHOUSE_TERADATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
